座  號,性  別,國  語,數  學,社  會,自  然,生  倫,健  教
A1,男,95,100,95,85,91,88
A2,男,96,88,100,97,100,93
A3,男,72,35,56,52,71,45
A4,男,99,90,93,97,94,95
A5,男,98,89,82,82,94,88
A6,男,77,56,49,61,80,52
A7,男,97,73,95,88,94,94
A8,男,98,96,97,100,90,86
A9,男,96,92,88,85,94,83
A10,男,89,43,54,73,97,70
A11,男,98,100,90,94,100,88
A12,男,93,99,100,100,100,82
A13,男,83,46,67,83,94,74
A14,男,98,94,96,88,100,88
A15,男,100,100,96,100,100,95
A16,男,89,71,57,88,82,56
A17,男,100,100,91,100,94,100
A18,男,99,96,66,70,90,54
A19,男,89,66,67,82,87,58
A20,男,94,90,88,91,94,90
A21,女,99,87,100,100,97,93
A22,女,89,65,67,73,77,55
A23,女,100,100,97,100,100,96
A24,女,94,75,82,64,94,86
A25,女,99,94,97,100,100,100
A26,女,100,90,94,100,100,98
A27,女,99,97,78,94,100,81
A28,女,98,92,94,100,94,94
A29,女,100,100,100,100,100,91
A30,女,95,97,96,100,100,83
A31,女,99,85,85,85,100,66
A32,女,100,92,95,100,94,85
A33,女,97,97,94,100,94,85
A34,女,100,97,97,91,100,85
A35,女,18,3,33,46,36,15
A36,女,100,49,94,100,100,76
A37,女,95,71,97,100,82,91
A38,女,84,66,76,61,90,61
A39,女,93,93,73,82,76,89
